id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
1885,Male,27,1,13.0,1,1-2 Year,No,22232.0,124.0,29,0
20678,Female,32,1,16.0,0,1-2 Year,Yes,29380.0,124.0,148,1
126403,Female,25,1,40.0,1,< 1 Year,No,27986.0,152.0,101,0
99101,Male,61,1,21.0,0,1-2 Year,Yes,29282.0,124.0,271,0
274088,Female,24,1,11.0,1,< 1 Year,No,31415.0,152.0,288,0
298343,Male,24,1,8.0,1,< 1 Year,No,32971.0,152.0,145,0
195382,Male,52,1,35.0,0,1-2 Year,No,35068.0,124.0,33,0
426122,Female,25,1,14.0,1,< 1 Year,No,22161.0,152.0,132,0
504702,Female,23,1,40.0,1,< 1 Year,No,28896.0,152.0,121,0
131060,Female,23,1,36.0,1,< 1 Year,No,31941.0,152.0,238,0
428158,Female,47,1,28.0,0,1-2 Year,Yes,39300.0,124.0,80,1
260788,Female,54,1,8.0,0,1-2 Year,No,37205.0,124.0,32,0
210319,Male,56,1,48.0,0,1-2 Year,Yes,2630.0,103.0,67,0
138322,Male,40,1,28.0,0,1-2 Year,Yes,36297.0,124.0,61,0
122859,Male,31,1,28.0,1,< 1 Year,No,50434.0,152.0,236,0
203545,Female,36,1,8.0,0,1-2 Year,Yes,35819.0,124.0,196,0
98473,Male,57,1,28.0,0,1-2 Year,Yes,35308.0,26.0,269,1
223376,Male,44,1,28.0,0,1-2 Year,No,35124.0,26.0,41,0
373991,Male,21,1,47.0,1,< 1 Year,No,28872.0,160.0,278,0
220780,Male,45,1,39.0,0,1-2 Year,Yes,26769.0,26.0,282,1
136687,Male,46,1,46.0,1,1-2 Year,No,64486.0,124.0,202,0
2434,Female,23,1,28.0,0,< 1 Year,No,36494.0,152.0,49,0
292776,Male,31,1,50.0,1,< 1 Year,No,30891.0,152.0,269,0
216508,Male,25,1,8.0,1,< 1 Year,No,73969.0,152.0,195,0
265349,Male,51,1,50.0,0,1-2 Year,Yes,34910.0,124.0,174,0
143907,Male,24,1,12.0,1,< 1 Year,No,21762.0,152.0,222,0
246833,Male,27,1,18.0,1,< 1 Year,No,24570.0,152.0,29,0
85312,Male,22,1,8.0,0,< 1 Year,Yes,39779.0,152.0,204,0
201527,Female,26,1,15.0,1,< 1 Year,No,32464.0,152.0,199,0
154637,Female,24,1,47.0,1,< 1 Year,Yes,2630.0,26.0,44,0
45313,Female,30,1,3.0,1,< 1 Year,No,33511.0,152.0,157,0
457232,Male,26,1,50.0,1,< 1 Year,No,44969.0,152.0,226,0
356754,Female,41,1,46.0,0,1-2 Year,Yes,44876.0,26.0,76,0
422298,Male,27,1,28.0,1,< 1 Year,No,31133.0,152.0,286,0
263493,Male,42,1,8.0,0,1-2 Year,Yes,2630.0,124.0,181,1
166221,Female,36,1,28.0,0,1-2 Year,Yes,31090.0,124.0,59,0
87630,Male,36,1,30.0,0,1-2 Year,Yes,28129.0,124.0,130,0
93848,Male,26,1,6.0,0,< 1 Year,Yes,2630.0,156.0,195,0
68630,Female,21,1,35.0,0,< 1 Year,Yes,28107.0,160.0,249,0
9125,Female,32,1,28.0,0,< 1 Year,Yes,26394.0,122.0,122,1
195600,Male,32,1,50.0,1,< 1 Year,No,46721.0,152.0,93,0
141518,Male,48,1,46.0,0,1-2 Year,Yes,29476.0,26.0,279,0
231994,Male,60,1,28.0,0,1-2 Year,Yes,30238.0,26.0,150,1
181841,Female,36,1,41.0,1,1-2 Year,No,25768.0,152.0,66,0
147692,Female,22,1,8.0,0,< 1 Year,Yes,67817.0,152.0,157,0
155875,Male,22,1,46.0,1,< 1 Year,Yes,39026.0,152.0,81,0
473838,Female,32,1,28.0,1,< 1 Year,No,23897.0,152.0,182,0
325934,Male,74,1,26.0,0,1-2 Year,Yes,46392.0,26.0,42,1
246180,Male,39,1,28.0,0,1-2 Year,Yes,52250.0,122.0,192,0
478151,Female,48,1,41.0,0,1-2 Year,Yes,37801.0,124.0,274,1
248862,Female,51,1,48.0,0,1-2 Year,Yes,2630.0,26.0,128,1
213008,Female,28,1,6.0,1,< 1 Year,No,19616.0,152.0,223,0
54233,Male,27,1,37.0,1,< 1 Year,No,2630.0,26.0,186,0
215260,Female,28,1,37.0,0,1-2 Year,No,2630.0,156.0,64,0
199219,Female,41,1,46.0,0,1-2 Year,Yes,24966.0,26.0,137,0
281728,Male,33,1,50.0,0,< 1 Year,Yes,30542.0,26.0,283,0
403980,Male,55,1,35.0,0,1-2 Year,Yes,36481.0,26.0,46,1
311991,Female,23,1,46.0,1,< 1 Year,No,36142.0,152.0,21,0
42048,Male,50,1,13.0,1,1-2 Year,No,2630.0,26.0,193,0
297183,Female,35,1,48.0,1,1-2 Year,No,2630.0,124.0,131,0
442465,Male,46,1,28.0,0,1-2 Year,Yes,39379.0,26.0,50,1
306693,Male,45,1,39.0,1,1-2 Year,No,41355.0,42.0,198,0
436180,Male,65,1,8.0,1,1-2 Year,No,25894.0,124.0,19,0
135737,Male,24,1,8.0,1,< 1 Year,No,42305.0,152.0,96,0
371247,Female,42,1,1.0,0,1-2 Year,Yes,2630.0,124.0,211,0
100017,Female,21,1,50.0,1,< 1 Year,Yes,39875.0,152.0,131,0
227463,Female,40,1,46.0,0,> 2 Years,Yes,2630.0,157.0,94,0
175847,Female,35,1,28.0,0,1-2 Year,Yes,2630.0,124.0,250,1
296885,Female,41,1,41.0,0,1-2 Year,Yes,52650.0,26.0,82,0
77871,Female,71,1,11.0,0,1-2 Year,Yes,29815.0,26.0,25,0
158100,Female,25,1,35.0,1,< 1 Year,No,32394.0,152.0,233,0
423816,Female,46,1,46.0,1,1-2 Year,No,28278.0,160.0,31,0
209402,Male,52,1,28.0,0,1-2 Year,Yes,28199.0,26.0,126,0
158620,Male,45,1,15.0,1,1-2 Year,No,32459.0,124.0,126,0
52717,Male,59,1,25.0,0,> 2 Years,Yes,42464.0,124.0,216,0
68129,Female,32,1,3.0,1,< 1 Year,No,37384.0,152.0,153,0
315395,Male,51,1,29.0,0,1-2 Year,Yes,32948.0,26.0,274,0
51550,Male,33,1,28.0,0,1-2 Year,Yes,42869.0,124.0,147,0
227119,Female,58,1,28.0,0,1-2 Year,Yes,22919.0,122.0,191,1
105045,Female,46,1,28.0,0,1-2 Year,Yes,36407.0,24.0,49,0
25976,Male,24,1,8.0,1,< 1 Year,No,83137.0,151.0,96,0
218920,Male,54,1,28.0,0,> 2 Years,Yes,38774.0,26.0,57,1
252133,Male,21,1,47.0,0,< 1 Year,Yes,28681.0,160.0,137,1
56834,Male,63,1,28.0,1,1-2 Year,Yes,39703.0,26.0,255,0
29023,Female,25,1,16.0,1,< 1 Year,No,2630.0,152.0,284,0
6849,Male,26,1,21.0,0,< 1 Year,Yes,30025.0,152.0,150,0
246078,Male,44,1,5.0,1,1-2 Year,No,31545.0,26.0,251,0
117190,Female,36,1,3.0,1,1-2 Year,No,28331.0,124.0,288,0
180503,Female,25,1,41.0,0,< 1 Year,Yes,2630.0,152.0,51,0
58435,Male,44,1,28.0,0,1-2 Year,Yes,40125.0,26.0,221,0
494824,Male,26,1,46.0,1,< 1 Year,No,20352.0,152.0,113,0
69546,Male,36,1,26.0,0,1-2 Year,Yes,2630.0,155.0,44,1
39395,Female,24,1,39.0,1,< 1 Year,No,30540.0,152.0,267,0
63830,Female,24,1,3.0,0,< 1 Year,No,2630.0,152.0,276,0
198705,Female,58,1,28.0,0,1-2 Year,Yes,41078.0,122.0,221,0
459863,Female,26,1,15.0,1,< 1 Year,No,34003.0,26.0,299,0
372807,Male,44,1,41.0,0,1-2 Year,Yes,30063.0,124.0,254,0
46808,Male,47,1,46.0,0,1-2 Year,No,36005.0,26.0,39,0
339096,Male,22,1,29.0,1,< 1 Year,No,47355.0,152.0,100,0
358612,Female,22,1,33.0,1,< 1 Year,No,32113.0,152.0,47,0
184618,Female,68,1,3.0,1,1-2 Year,No,31284.0,26.0,96,0
331429,Female,20,1,50.0,0,< 1 Year,No,41285.0,160.0,203,0
159101,Female,40,1,28.0,0,1-2 Year,Yes,48219.0,26.0,259,1
384758,Female,24,1,3.0,1,< 1 Year,No,25584.0,152.0,289,0
145989,Female,25,1,18.0,0,< 1 Year,Yes,38431.0,152.0,162,0
189018,Male,24,1,8.0,1,< 1 Year,No,35436.0,152.0,93,0
14098,Male,27,1,21.0,0,< 1 Year,Yes,33901.0,152.0,275,0
507438,Female,30,1,8.0,1,< 1 Year,No,41494.0,152.0,122,0
265393,Female,55,1,26.0,0,1-2 Year,Yes,44965.0,26.0,123,0
397691,Male,65,1,28.0,0,> 2 Years,Yes,53660.0,26.0,100,1
453177,Male,50,1,36.0,0,1-2 Year,Yes,33920.0,154.0,25,1
261119,Male,53,1,19.0,0,1-2 Year,Yes,47502.0,124.0,111,0
203335,Female,25,1,11.0,1,< 1 Year,No,23797.0,152.0,35,0
269289,Male,24,1,41.0,1,< 1 Year,No,14466.0,152.0,188,0
71171,Male,50,1,28.0,0,1-2 Year,Yes,25924.0,156.0,184,1
86525,Female,22,1,8.0,1,< 1 Year,No,28930.0,152.0,90,0
97456,Female,45,1,28.0,0,< 1 Year,No,2630.0,1.0,202,0
178691,Female,22,1,46.0,0,< 1 Year,Yes,28344.0,152.0,267,0
248611,Female,46,1,28.0,0,> 2 Years,Yes,61911.0,26.0,234,1
29392,Female,29,1,28.0,1,1-2 Year,No,35365.0,124.0,67,0
250700,Male,36,1,28.0,0,1-2 Year,Yes,36988.0,26.0,236,1
302971,Female,26,1,47.0,1,< 1 Year,No,27067.0,152.0,169,0
394734,Female,22,1,30.0,1,< 1 Year,No,24550.0,152.0,93,0
303995,Female,25,1,13.0,1,< 1 Year,No,2630.0,152.0,25,0
55438,Male,63,1,16.0,0,> 2 Years,Yes,2630.0,124.0,203,0
479151,Male,22,1,28.0,1,< 1 Year,No,58803.0,152.0,87,0
460021,Female,26,1,30.0,1,< 1 Year,No,25122.0,152.0,270,0
445020,Female,22,1,28.0,1,< 1 Year,No,57705.0,153.0,280,0
185635,Male,22,1,49.0,0,< 1 Year,Yes,2630.0,160.0,146,0
410614,Male,24,1,10.0,1,< 1 Year,No,25162.0,152.0,153,0
234329,Female,24,1,3.0,1,< 1 Year,No,19088.0,152.0,214,0
480649,Male,38,1,28.0,0,1-2 Year,Yes,39361.0,26.0,123,1
417827,Female,43,1,28.0,1,1-2 Year,No,42691.0,26.0,96,0
140090,Female,24,1,44.0,0,< 1 Year,Yes,32047.0,151.0,160,0
194054,Female,39,1,28.0,0,1-2 Year,Yes,34779.0,124.0,138,0
126598,Male,23,1,28.0,1,< 1 Year,Yes,91599.0,26.0,162,0
344103,Male,70,1,28.0,1,1-2 Year,No,32754.0,4.0,62,0
400428,Male,34,1,15.0,0,1-2 Year,Yes,2630.0,124.0,142,1
403305,Female,45,1,28.0,0,1-2 Year,Yes,35514.0,26.0,198,1
491100,Female,21,1,13.0,1,< 1 Year,No,22413.0,160.0,62,0
152279,Female,49,1,28.0,0,> 2 Years,Yes,32592.0,122.0,100,0
166875,Female,49,1,35.0,1,1-2 Year,No,2630.0,26.0,134,0
305150,Female,22,1,10.0,0,< 1 Year,Yes,37218.0,26.0,287,0
446170,Female,41,1,30.0,0,1-2 Year,Yes,44812.0,26.0,117,1
12794,Female,24,1,28.0,1,< 1 Year,No,43337.0,152.0,216,0
37000,Male,64,1,28.0,0,1-2 Year,Yes,36743.0,124.0,184,0
289912,Male,21,1,45.0,0,< 1 Year,Yes,35644.0,152.0,188,0
152274,Female,41,1,8.0,0,1-2 Year,Yes,33950.0,26.0,145,0
92815,Male,61,1,11.0,0,1-2 Year,Yes,37978.0,26.0,220,0
388341,Male,65,1,26.0,1,1-2 Year,No,42871.0,124.0,282,0
21185,Male,46,1,3.0,0,1-2 Year,Yes,32796.0,26.0,214,0
442200,Female,23,1,33.0,1,< 1 Year,No,44376.0,152.0,58,0
251874,Male,27,1,18.0,0,< 1 Year,Yes,2630.0,26.0,172,0
139230,Female,36,1,6.0,1,1-2 Year,No,26320.0,152.0,224,0
276117,Male,47,1,11.0,1,1-2 Year,No,2630.0,124.0,74,0
482189,Female,43,1,28.0,0,1-2 Year,Yes,37585.0,26.0,153,1
270233,Male,46,1,50.0,0,1-2 Year,Yes,38883.0,124.0,282,0
106422,Female,25,1,30.0,1,< 1 Year,No,28256.0,152.0,11,0
100982,Male,21,1,8.0,0,< 1 Year,Yes,71333.0,152.0,117,0
236031,Male,38,1,29.0,0,< 1 Year,No,2630.0,1.0,167,0
299006,Male,38,1,50.0,0,1-2 Year,No,37693.0,65.0,228,0
65185,Female,28,1,28.0,0,< 1 Year,Yes,2630.0,156.0,75,0
382263,Female,58,1,28.0,1,1-2 Year,No,2630.0,122.0,111,0
174936,Male,67,1,38.0,0,1-2 Year,Yes,25924.0,124.0,144,1
127388,Male,75,1,28.0,1,1-2 Year,No,52768.0,13.0,288,0
36190,Male,26,1,41.0,1,< 1 Year,No,25910.0,152.0,98,0
285867,Male,24,1,8.0,0,< 1 Year,Yes,2630.0,152.0,21,0
354545,Female,38,1,28.0,1,1-2 Year,No,50136.0,124.0,230,0
158977,Male,25,1,29.0,1,< 1 Year,No,22162.0,152.0,50,0
444602,Female,21,1,9.0,1,< 1 Year,No,34577.0,152.0,109,0
99463,Female,78,1,28.0,0,1-2 Year,No,44327.0,26.0,282,0
311886,Female,52,1,28.0,0,1-2 Year,Yes,31333.0,124.0,75,1
233095,Male,21,1,47.0,0,< 1 Year,Yes,38276.0,160.0,53,0
214851,Male,26,1,15.0,0,< 1 Year,No,27729.0,152.0,242,0
214906,Female,23,1,8.0,0,< 1 Year,Yes,29358.0,160.0,254,0
197725,Male,48,1,28.0,0,> 2 Years,Yes,52453.0,26.0,198,0
266543,Female,44,1,50.0,0,1-2 Year,Yes,48612.0,8.0,254,0
68985,Female,24,1,50.0,1,< 1 Year,Yes,26380.0,152.0,47,0
60825,Female,25,1,33.0,1,< 1 Year,No,41380.0,152.0,252,0
272001,Female,58,1,3.0,1,1-2 Year,No,21122.0,26.0,167,0
380247,Male,72,1,41.0,1,1-2 Year,No,39345.0,136.0,86,0
254955,Male,50,1,36.0,0,1-2 Year,Yes,2630.0,150.0,121,1
267406,Male,55,1,28.0,0,1-2 Year,Yes,35751.0,26.0,121,0
150664,Male,23,1,41.0,1,< 1 Year,No,26271.0,160.0,215,0
142013,Male,25,1,30.0,0,< 1 Year,Yes,26102.0,152.0,90,0
278385,Female,51,1,5.0,0,1-2 Year,No,2630.0,152.0,85,0
400872,Male,23,1,8.0,1,< 1 Year,No,29757.0,152.0,276,0
30268,Female,25,1,41.0,1,< 1 Year,No,35794.0,152.0,81,0
253813,Male,43,1,29.0,0,> 2 Years,Yes,2630.0,156.0,175,0
17206,Male,58,1,28.0,0,> 2 Years,Yes,42610.0,26.0,297,0
80778,Female,22,1,41.0,1,< 1 Year,Yes,44926.0,152.0,297,0
467617,Male,23,1,47.0,1,< 1 Year,No,28862.0,152.0,84,0
103518,Male,31,1,22.0,0,1-2 Year,Yes,2630.0,156.0,298,0
362396,Female,21,1,2.0,0,< 1 Year,No,23794.0,160.0,258,0
145822,Male,43,1,28.0,1,1-2 Year,No,43914.0,124.0,29,0
8555,Female,26,1,17.0,1,< 1 Year,No,40999.0,152.0,179,0
385493,Female,50,1,28.0,0,1-2 Year,Yes,44291.0,26.0,34,1
227818,Female,21,1,8.0,1,< 1 Year,No,30517.0,160.0,203,0
56323,Male,38,1,41.0,1,1-2 Year,No,24283.0,152.0,54,0
295547,Male,22,1,36.0,0,< 1 Year,Yes,38840.0,152.0,21,0
290435,Male,43,1,28.0,1,1-2 Year,No,32101.0,26.0,136,0
196814,Female,42,1,46.0,0,1-2 Year,Yes,33309.0,124.0,203,0
298653,Female,21,1,15.0,1,< 1 Year,No,31012.0,160.0,136,0
84838,Female,22,1,42.0,0,< 1 Year,Yes,28593.0,152.0,29,0
189364,Female,23,1,16.0,1,< 1 Year,No,23933.0,152.0,69,0
114564,Male,22,1,17.0,1,< 1 Year,No,30598.0,152.0,287,0
131440,Male,56,1,20.0,0,1-2 Year,Yes,2630.0,124.0,187,0
104233,Female,35,1,46.0,0,1-2 Year,Yes,32857.0,156.0,237,0
135165,Male,28,1,27.0,1,< 1 Year,No,25855.0,152.0,75,0
326895,Male,48,1,28.0,0,1-2 Year,Yes,39284.0,26.0,64,0
289747,Female,46,1,28.0,0,1-2 Year,Yes,46038.0,52.0,196,0
493687,Female,23,1,11.0,1,< 1 Year,No,2630.0,152.0,157,0
27565,Male,24,1,15.0,0,< 1 Year,No,2630.0,152.0,170,0
370462,Male,44,1,41.0,0,1-2 Year,Yes,36026.0,124.0,66,0
193545,Female,58,1,28.0,0,> 2 Years,Yes,47556.0,26.0,269,0
444029,Male,28,1,41.0,1,< 1 Year,No,37863.0,152.0,24,0
418271,Male,43,1,46.0,0,1-2 Year,Yes,2630.0,124.0,41,1
152168,Male,38,1,41.0,1,1-2 Year,No,30937.0,26.0,62,0
254116,Male,42,1,28.0,0,1-2 Year,Yes,32753.0,124.0,284,0
69473,Female,59,1,28.0,0,> 2 Years,Yes,2630.0,157.0,70,1
65849,Female,24,1,38.0,1,< 1 Year,No,48898.0,160.0,181,0
114404,Female,71,1,28.0,1,1-2 Year,Yes,51332.0,109.0,106,0
72991,Male,78,1,46.0,0,1-2 Year,Yes,33842.0,30.0,119,0
413729,Male,22,1,41.0,1,< 1 Year,No,22650.0,152.0,298,0
377355,Female,22,1,46.0,1,< 1 Year,No,38721.0,152.0,70,0
46487,Male,24,1,28.0,0,< 1 Year,Yes,68352.0,152.0,147,0
312659,Male,21,1,8.0,1,< 1 Year,No,58959.0,160.0,206,0
96245,Male,51,1,17.0,1,1-2 Year,No,44428.0,124.0,295,0
254168,Male,32,1,28.0,1,< 1 Year,No,51619.0,121.0,121,0
344276,Male,54,1,8.0,0,1-2 Year,Yes,34720.0,26.0,236,1
279143,Female,56,1,46.0,1,1-2 Year,No,27794.0,91.0,23,0
276810,Female,28,1,15.0,0,< 1 Year,Yes,41996.0,152.0,222,0
108549,Male,22,1,37.0,0,< 1 Year,Yes,33441.0,152.0,242,0
251584,Female,25,1,40.0,0,< 1 Year,Yes,29897.0,152.0,152,0
118563,Female,21,1,33.0,1,< 1 Year,No,33265.0,152.0,46,0
356747,Male,66,1,15.0,0,1-2 Year,No,38506.0,152.0,270,0
113657,Female,23,1,22.0,0,< 1 Year,Yes,35470.0,152.0,140,0
483922,Female,26,1,28.0,1,< 1 Year,No,54485.0,151.0,42,0
453075,Female,27,1,46.0,1,< 1 Year,No,23352.0,152.0,117,0
85683,Female,29,1,10.0,1,< 1 Year,No,24074.0,152.0,13,0
310287,Female,25,1,3.0,1,< 1 Year,No,29312.0,152.0,114,0
258359,Female,44,1,28.0,0,1-2 Year,Yes,21192.0,124.0,144,0
6574,Female,48,1,8.0,1,1-2 Year,No,36603.0,26.0,117,0
7781,Male,24,1,33.0,0,< 1 Year,No,34261.0,152.0,140,0
371501,Female,50,1,15.0,0,1-2 Year,No,2630.0,26.0,14,0
190591,Female,24,1,2.0,1,< 1 Year,No,24648.0,160.0,30,0
367419,Female,29,1,9.0,1,< 1 Year,No,20294.0,152.0,62,0
212672,Male,20,1,15.0,0,< 1 Year,Yes,47259.0,160.0,59,0
220725,Female,49,1,28.0,0,1-2 Year,Yes,62576.0,26.0,293,0
23872,Male,64,1,48.0,1,1-2 Year,No,2630.0,15.0,76,0
335313,Female,24,1,15.0,0,< 1 Year,Yes,32870.0,151.0,129,0
325991,Male,23,1,2.0,1,< 1 Year,No,41916.0,152.0,277,0
233828,Female,63,1,0.0,1,1-2 Year,No,2630.0,26.0,261,0
233193,Male,22,1,43.0,0,< 1 Year,Yes,23641.0,152.0,260,0
224083,Female,41,1,28.0,0,1-2 Year,Yes,65026.0,26.0,270,0
20112,Female,28,1,12.0,1,< 1 Year,No,29383.0,152.0,294,0
65096,Male,42,1,28.0,0,1-2 Year,Yes,31354.0,29.0,35,0
152860,Male,52,1,28.0,0,> 2 Years,Yes,33016.0,26.0,21,1
309742,Female,25,1,28.0,0,1-2 Year,Yes,2630.0,156.0,294,0
320442,Male,77,1,8.0,1,1-2 Year,No,38520.0,30.0,151,0
421716,Female,60,1,35.0,1,1-2 Year,No,48041.0,122.0,154,0
346711,Female,23,1,16.0,0,< 1 Year,Yes,30250.0,152.0,33,0
181257,Female,46,1,41.0,0,1-2 Year,Yes,38755.0,124.0,84,0
111008,Female,22,1,46.0,0,< 1 Year,Yes,27606.0,152.0,132,0
315820,Female,26,1,46.0,1,< 1 Year,No,24112.0,152.0,143,0
322639,Male,52,1,28.0,0,1-2 Year,Yes,33728.0,34.0,270,0
40091,Male,69,1,28.0,1,1-2 Year,No,2630.0,24.0,160,0
475661,Female,43,1,46.0,1,1-2 Year,No,34382.0,11.0,163,0
308930,Male,51,1,28.0,0,> 2 Years,Yes,45820.0,124.0,30,0
42066,Female,26,1,33.0,1,< 1 Year,No,38806.0,152.0,183,0
265827,Female,22,1,35.0,1,< 1 Year,No,25365.0,160.0,251,0
475081,Male,22,1,46.0,1,< 1 Year,No,62444.0,160.0,52,0
288577,Male,25,1,8.0,0,< 1 Year,No,46690.0,26.0,151,0
238322,Female,26,1,8.0,1,< 1 Year,No,37190.0,160.0,79,0
168468,Female,24,1,50.0,1,< 1 Year,No,35182.0,152.0,262,0
96851,Male,20,1,16.0,0,< 1 Year,Yes,23862.0,160.0,87,0
29132,Male,23,1,33.0,1,< 1 Year,No,26695.0,152.0,281,0
20899,Female,24,1,18.0,1,< 1 Year,No,33429.0,152.0,158,0
305277,Female,26,1,30.0,1,< 1 Year,No,43986.0,152.0,176,0
34522,Male,27,1,30.0,1,< 1 Year,No,30726.0,152.0,208,0
213538,Male,33,1,21.0,0,< 1 Year,Yes,2630.0,156.0,82,0
42324,Female,53,1,28.0,0,1-2 Year,Yes,2630.0,156.0,68,0
300716,Female,55,1,38.0,1,1-2 Year,No,28646.0,124.0,158,0
374232,Female,37,1,28.0,0,1-2 Year,Yes,20487.0,124.0,45,0
141524,Female,25,1,2.0,1,< 1 Year,No,30624.0,152.0,207,0
15911,Female,20,1,2.0,1,< 1 Year,No,24614.0,160.0,222,0
59652,Male,23,1,41.0,1,< 1 Year,No,49531.0,152.0,270,0
481140,Male,23,1,8.0,1,< 1 Year,No,34371.0,152.0,288,0
245993,Male,51,1,28.0,0,1-2 Year,Yes,34844.0,124.0,209,0
434380,Male,40,1,39.0,0,1-2 Year,Yes,35956.0,124.0,51,1
76082,Female,54,1,41.0,1,1-2 Year,No,2630.0,106.0,238,0
301117,Female,50,1,28.0,0,1-2 Year,Yes,31928.0,122.0,138,0
426225,Female,23,1,15.0,1,< 1 Year,No,28762.0,152.0,235,0
80481,Male,37,1,33.0,0,1-2 Year,Yes,27457.0,124.0,80,0
126409,Female,61,1,28.0,0,> 2 Years,Yes,51279.0,122.0,170,0
227752,Female,50,1,28.0,0,1-2 Year,Yes,29402.0,122.0,242,1
382655,Male,27,1,46.0,1,< 1 Year,No,21099.0,152.0,184,0
361292,Male,23,1,39.0,0,< 1 Year,Yes,35552.0,26.0,283,0
441513,Female,30,1,33.0,0,< 1 Year,Yes,26985.0,124.0,284,1
69183,Female,44,1,21.0,1,1-2 Year,No,30031.0,160.0,26,0
146705,Female,24,1,8.0,1,< 1 Year,No,66713.0,152.0,158,0
330274,Female,40,1,15.0,0,1-2 Year,Yes,36081.0,26.0,17,0
199654,Male,75,1,50.0,0,1-2 Year,Yes,42349.0,8.0,83,0
468115,Female,38,1,28.0,0,1-2 Year,Yes,32341.0,124.0,296,1
168914,Female,23,1,6.0,1,< 1 Year,No,21431.0,152.0,201,0
175817,Female,25,1,37.0,1,< 1 Year,No,33126.0,152.0,120,0
335703,Male,75,1,30.0,1,1-2 Year,No,33696.0,124.0,250,0
160293,Female,41,1,28.0,0,> 2 Years,Yes,299811.0,124.0,286,0
75208,Male,58,1,28.0,1,1-2 Year,Yes,41817.0,26.0,200,0
367932,Female,22,1,11.0,1,< 1 Year,No,21695.0,152.0,175,0
253486,Female,73,1,28.0,0,1-2 Year,Yes,29306.0,124.0,158,0
39611,Female,24,1,37.0,1,< 1 Year,No,2630.0,152.0,107,0
131150,Female,34,1,28.0,0,1-2 Year,No,33652.0,124.0,110,0
413209,Male,51,1,28.0,0,> 2 Years,Yes,30353.0,155.0,94,1
44037,Male,66,1,28.0,1,1-2 Year,No,55511.0,124.0,297,0
470820,Female,46,1,19.0,1,1-2 Year,No,2630.0,124.0,124,0
424664,Female,46,1,23.0,0,1-2 Year,Yes,2630.0,26.0,103,1
409122,Female,33,1,30.0,1,< 1 Year,No,2630.0,160.0,134,0
137584,Male,28,1,14.0,0,1-2 Year,Yes,2630.0,156.0,154,0
435552,Female,35,1,48.0,1,1-2 Year,No,2630.0,15.0,230,0
269045,Male,55,1,46.0,0,1-2 Year,Yes,38865.0,26.0,168,0
310239,Female,67,1,28.0,0,1-2 Year,Yes,46534.0,124.0,236,0
158424,Male,38,1,28.0,0,> 2 Years,Yes,39226.0,26.0,207,1
185968,Female,38,1,35.0,0,1-2 Year,Yes,26258.0,124.0,175,0
